geneID	control	heat
MAA_01025	266	94
MAA_01026	0	0
MAA_01027	0	0
MAA_01028	6	2
MAA_01029	0	0
MAA_01030	0	0
MAA_01031	89	17
MAA_01032	0	0
MAA_01033	0	0
MAA_01034	84	164
MAA_01035	114	298
MAA_01036	135	221
MAA_01037	40	36
MAA_01038	51	79
MAA_01039	526	179
MAA_01040	237	244
MAA_01042	1	26
MAA_01043	125	274
MAA_01044	1705	1187
MAA_01045	141	179
MAA_01046	140	294
MAA_01047	37	175
MAA_01048	191	250
MAA_01049	1	18
MAA_01050	2879	4538
MAA_01051	192	205
MAA_01052	909	1051
MAA_01053	211	217
MAA_01054	11	27
MAA_01055	106	255
MAA_01056	555	620
MAA_01057	5551	1508
MAA_01058	133	157
MAA_01059	87	82
MAA_01060	8	24
MAA_01061	6	12
MAA_01062	0	0
MAA_01063	73	38
MAA_01064	35	14
MAA_01065	1	5
MAA_01066	0	1
MAA_01067	0	0
MAA_01068	9	2
MAA_01069	1	0
MAA_01070	0	1
MAA_01071	0	0
MAA_01072	0	0
MAA_01073	0	0
MAA_01074	0	6
MAA_01075	2	14
MAA_01076	574	323
MAA_01077	0	0
MAA_01078	0	0
MAA_01079	95	172
MAA_01080	1178	1236
MAA_01081	70	54
MAA_01082	24	28
MAA_01083	267	473
MAA_01084	1933	1356
MAA_01085	939	1118
MAA_01086	9	33
MAA_01087	517	1094
MAA_01088	242	454
MAA_01089	255	211
MAA_01091	138	226
MAA_01092	914	538
MAA_01093	1419	1185
MAA_01096	697	779
MAA_01097	3	14
MAA_01098	653	1142
MAA_01099	25	31
MAA_01100	6018	5627
MAA_01101	1861	1572
MAA_01102	80	178
MAA_01103	95	145
MAA_01104	429	483
MAA_01105	4409	3534
MAA_01106	37	46
MAA_01107	347	374
MAA_01108	213	349
MAA_01109	150	125
MAA_01110	438	697
MAA_01111	539	97
MAA_01112	1251	320
MAA_01113	945	770
MAA_01114	208	231
MAA_01115	122	152
MAA_01116	187	447
MAA_01117	137	87
MAA_01118	569	384
MAA_01119	1217	531
MAA_01120	1063	388
MAA_01121	477	537
MAA_01122	316	234
MAA_01123	830	1234
MAA_01124	5552	1551
MAA_01125	4682	4279
MAA_01126	629	798
MAA_01127	55	346
MAA_01128	104	311
MAA_01129	140	861
MAA_01130	73	403
MAA_01131	155	384
MAA_01132	373	253
MAA_01133	889	609
MAA_01134	1559	2446
MAA_01135	22	81
MAA_01136	0	25
MAA_01137	165	39
MAA_01138	11004	3704
MAA_01139	9167	3450
MAA_01140	107	223
MAA_01141	49	177
MAA_01142	659	864
MAA_01143	169	118
MAA_01144	1045	647
MAA_01145	511	361
MAA_01146	112	294
MAA_01147	9	29
MAA_01148	98	265
MAA_01149	39	130
MAA_01150	123	334
MAA_01151	151	1031
MAA_01152	298	740
MAA_01153	716	1255
MAA_01154	395	311
MAA_01155	71	37
MAA_01156	330	460
MAA_01157	94	144
MAA_01158	89	254
MAA_01159	80	299
MAA_01161	89	249
MAA_01162	276	2123
MAA_01163	25	28
MAA_01164	28	34
MAA_01165	331	451
MAA_01166	455	433
MAA_01167	692	1663
MAA_01168	96	110
MAA_01169	942	153
MAA_01170	11	70
MAA_01171	84	539
MAA_01172	69	410
MAA_01173	47	54
MAA_01174	113	144
MAA_01175	17	81
MAA_01176	31	6
MAA_01177	46	46
MAA_01178	0	0
MAA_01179	13	66
MAA_01180	10	22
MAA_01181	1253	995
MAA_01182	0	0
MAA_01183	7	63
MAA_01184	4	9
MAA_01185	269	777
MAA_01186	1	50
MAA_01187	114	202
MAA_01188	205	620
MAA_01189	122	329
MAA_01190	134	131
MAA_01191	2	4
MAA_01192	0	3
MAA_01193	1	1
MAA_01194	0	6
MAA_01195	8	1
MAA_01196	2	2
MAA_01197	5	3
MAA_01198	1	4
MAA_01199	0	0
MAA_01200	1	1
MAA_01201	356	118
MAA_01202	1478	440
MAA_01203	6	54
MAA_01204	56	20
MAA_01205	54	23
MAA_01206	38	3
MAA_01207	22	0
MAA_01208	1	1
MAA_01209	0	0
MAA_01210	2	1
MAA_01211	86	12
MAA_01212	11	6
MAA_01213	5692	1122
MAA_01214	138	404
MAA_01215	10	77
MAA_01216	141	50
MAA_01217	166	375
MAA_01218	196	439
MAA_01219	2669	3509
MAA_01220	115	345
MAA_01221	705	1369
MAA_01222	6	22
MAA_01223	3	6
MAA_01224	62	400
MAA_01225	178	485
MAA_01226	32	288
MAA_01227	256	1050
MAA_01228	2162	623
MAA_01229	135	105
MAA_01230	60	717
MAA_01231	20	55
MAA_01232	127	180
MAA_01233	324	774
MAA_01234	753	1031
MAA_01235	577	438
MAA_01236	748	1149
MAA_01237	300	270
MAA_01238	2188	1997
MAA_01239	412	164
MAA_01240	383	380
MAA_01241	5188	4108
MAA_01242	509	633
MAA_01243	382	728
MAA_01244	458	298
MAA_01245	78	130
MAA_01246	0	53
MAA_01247	56	81
MAA_01248	2	12
MAA_01249	467	267
MAA_01250	13	4
MAA_01251	0	0
MAA_01252	1	2
MAA_01253	14	2
MAA_01254	0	0
MAA_01255	2	5
MAA_01256	1	9
MAA_01257	363	348
MAA_01258	37	108
