organism,de_gene,log_fc,log_cpm,f,p_value,fdr,id
5530,MAN+AF8-00085,2.41655408609426,8.13931412295366,54.9112271552102,1.29355059921826e+AC0-13,3.20216567024928e+AC0-12,
5530,MAN+AF8-00568,2.41384747912042,5.4856549848956,14.4272205289093,0.000145962809711072,0.000976820666826263,
5530,MAN+AF8-01422,2.410571922419,5.68372014857284,17.325008306438,3.15874656910309e+AC0-05,0.000250513656751807,
5530,MAN+AF8-00597,2.40957688776434,5.05604381742264,10.2973424876976,0.00133359216059804,0.00677693395413024,
5530,MAN+AF8-07123,2.40744557728494,7.95008468611427,50.0703031048578,1.51524269682609e+AC0-12,3.45726180423474e+AC0-11,
5530,MAN+AF8-01121,2.40712743410078,7.75650253647455,48.5048695776518,3.3612151484798e+AC0-12,7.45239854333598e+AC0-11,
5530,MAN+AF8-06035,2.40645537437199,7.88251372145158,49.7930008663448,1.74485536904182e+AC0-12,3.96342536945603e+AC0-11,
5530,MAN+AF8-03728,2.40430192200663,6.20967166605288,24.1020858149727,9.18313160234614e+AC0-07,9.94254344079918e+AC0-06,
5530,MAN+AF8-04470,2.40147628085936,8.96647824563333,65.2223536507408,6.93425473931186e+AC0-16,2.07397255384873e+AC0-14,
5530,MAN+AF8-00543,2.39950598461402,8.01308557761085,52.0235470564233,5.61110928772407e+AC0-13,1.32778894722733e+AC0-11,
5530,MAN+AF8-00044,2.39820031665796,5.6146193100025,15.3762999672195,8.82782019282573e+AC0-05,0.00062611735054426,
5530,MAN+AF8-04606,2.39692102583011,6.7151844561193,31.086518270448,2.48859129783746e+AC0-08,3.53006156420643e+AC0-07,
5530,MAN+AF8-04192,2.39424584736983,11.7776337240979,76.1548328033241,2.75318304901707e+AC0-18,9.61634038250861e+AC0-17,
5530,MAN+AF8-08931,2.393134002963,6.64748839592246,30.7566987743405,2.94906570060592e+AC0-08,4.0977549155967e+AC0-07,
5530,MAN+AF8-08094,2.39223773148382,9.51095751803142,70.4221202459783,4.99138927770392e+AC0-17,1.62642745186269e+AC0-15,
5530,MAN+AF8-07729,2.38680087098994,5.42289998568428,14.2070438361154,0.000164063810648444,0.00108303353061714,
5530,MAN+AF8-10230,2.38331695126879,6.76202215687213,31.9957854917202,1.55884758205267e+AC0-08,2.27124092705074e+AC0-07,
5530,MAN+AF8-03565,2.38314725028011,6.50658483277178,28.2143370809502,1.09355084291065e+AC0-07,1.40114636266906e+AC0-06,
5530,MAN+AF8-08764,2.38310615567133,5.42697088935551,14.2002556941098,0.000164656448284935,0.00108624263651879,
5530,MAN+AF8-02062,2.37969583365904,7.26959392298007,39.9982023711961,2.57704952522149e+AC0-10,4.66016455810886e+AC0-09,
5530,MAN+AF8-01237,2.37949260430599,5.07958493009714,10.6358626063859,0.00111036869232987,0.00578674005777838,
5530,MAN+AF8-01222,2.37826677912842,6.13231914383232,22.5183198661066,2.09088418058207e+AC0-06,2.12611443247822e+AC0-05,
5530,MAN+AF8-07049,2.36824453188836,7.99929111390799,50.9417832365144,9.72633609450579e+AC0-13,2.25452049608783e+AC0-11,
5530,MAN+AF8-03158,2.36343401887499,5.28976489821253,11.6752613398008,0.000634190032598251,0.00354222570781466,
5530,MAN+AF8-09707,2.35852703274535,5.03267064418643,10.1295852758692,0.00146054111033949,0.00732352939250365,
5530,MAN+AF8-04341,2.35454420545036,5.79355000646322,17.012903353426,3.72246672569479e+AC0-05,0.0002895914426801,
5530,MAN+AF8-08692,2.3440133943322,6.350552159299,24.7042188521526,6.71983496106479e+AC0-07,7.53060796236903e+AC0-06,
5530,MAN+AF8-04538,2.3311638703109,8.13774137879386,51.2017257225529,8.52184667119396e+AC0-13,1.98434507304811e+AC0-11,
5530,MAN+AF8-09137,2.32193551259361,5.55565950343586,14.9532159356478,0.000110437921763093,0.000764668271596599,
5530,MAN+AF8-09535,2.31804399196447,5.61171773981433,15.3874519013653,8.77589824831881e+AC0-05,0.000623296561522309,
5530,MAN+AF8-03504,2.31636973235734,8.79446516085719,59.0945246188978,1.54768967572137e+AC0-14,4.1213804184549e+AC0-13,
5530,MAN+AF8-03576,2.31544295995073,7.80899905049543,45.8992855147574,1.26744755103853e+AC0-11,2.6329656120535e+AC0-10,
5530,MAN+AF8-08991,2.31185593257436,5.57742738822723,13.4196537259718,0.000438562079342319,0.00256767775385322,
5530,MAN+AF8-07918,2.31085771047599,6.50693711868011,23.8091340555439,5.61784102002634e+AC0-05,0.000418527104187353,
5530,MAN+AF8-09525,2.30918799366504,6.45540405396579,25.2550420888692,5.05109120686864e+AC0-07,5.81445589377576e+AC0-06,
5530,MAN+AF8-07397,2.30591742750024,5.55706905905711,14.953302143976,0.000110432878449677,0.000764668271596599,
5530,MAN+AF8-01869,2.30483369571238,7.05479853693569,34.1143035427234,5.24929014676934e+AC0-09,8.01459733636235e+AC0-08,
5530,MAN+AF8-08508,2.30343879547289,6.35669792272076,22.0874126375787,7.93034606551654e+AC0-06,7.20869870964378e+AC0-05,
